,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Angptl3,log2FC_Angptl3_vs_NT
Eef1akmt4,-0.019490113,2.237174989,-0.248852987,0.807230355,0.931085565,-6.2146076,3.927328333,3.8746288,-0.019490113
Zdhhc6,-0.019529325,4.385716814,-0.226750929,0.824023932,0.937743601,-6.220022601,20.32444,20.051168,-0.019529325
Cyp2c38,-0.019531158,3.15586355,0.127107787,0.900733866,0.968749757,-6.238217971,7.959728,7.8526956,-0.019531158
Galk2,-0.019666894,2.392792487,-0.141278481,0.889741968,0.96548179,-6.236252983,4.206962,4.1500016,-0.019666894
Vstm4,-0.019691705,0.850481975,-0.140861352,0.8900652,0.96548179,-6.23631378,0.832289733,0.82100678,-0.019691705
Wdr33,-0.019694836,3.631815836,-0.110842841,0.913376297,0.974667543,-6.240218182,11.40357867,11.2489614,-0.019694836
Fam50a,-0.019771071,4.097094629,-0.13859573,0.89182118,0.965878505,-6.236640866,17.37602333,17.139522,-0.019771071
Tspan7,-0.019783686,2.437523784,-0.144743524,0.887057709,0.964853872,-6.235741023,4.506935,4.4455532,-0.019783686
Rab7,-0.019784207,7.382821846,-0.256680635,0.801305951,0.928534704,-6.212570272,171.4615667,169.1263,-0.019784207
Sgpl1,-0.019786628,4.416453708,-0.036452464,0.97145652,0.993487307,-6.245884357,21.54454333,21.251076,-0.019786628
